epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,171.864,1.84929,3.20131,1.85004,0.5711,0.43411,0.4614,0.19743,1.87436,1.87075,1.88859,0.00999408,0.00333136,0.00999408,0.00333136,0.00999408,0.00333136,0.00999408,0.00333136
2,312.815,1.83149,2.57799,1.86094,0.57023,0.4972,0.49319,0.22001,1.83976,1.77339,1.9027,0.0199892,0.00666307,0.0199892,0.00666307,0.0199892,0.00666307,0.0199892,0.00666307
3,448.446,1.86781,2.45639,1.9166,0.4596,0.45475,0.41248,0.16975,1.86675,1.84318,1.97433,0.0299648,0.00998826,0.0299648,0.00998826,0.0299648,0.00998826,0.0299648,0.00998826
4,593.445,1.85928,2.40218,1.94124,0.55226,0.50957,0.53296,0.24044,1.79026,1.6602,1.92557,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
5,737.754,1.80382,2.30936,1.9019,0.50129,0.58189,0.53116,0.23573,1.76216,1.53707,1.85967,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
6,878.529,1.77563,2.24377,1.87589,0.54533,0.57348,0.5916,0.27325,1.71295,1.47196,1.83668,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
7,1018.58,1.75033,2.1747,1.8532,0.63712,0.56618,0.60539,0.28659,1.71707,1.48961,1.82189,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
8,1147.4,1.72572,2.16298,1.82576,0.60564,0.60614,0.65246,0.30957,1.72457,1.42293,1.8198,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
9,1286.57,1.71347,2.13601,1.8108,0.67,0.60369,0.64227,0.30594,1.68934,1.39214,1.75567,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
10,1425.45,1.7028,2.08416,1.78886,0.68833,0.6431,0.68729,0.33887,1.68279,1.32934,1.75029,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
11,1564.15,1.69123,2.07444,1.78458,0.68034,0.61997,0.67605,0.33793,1.65615,1.32172,1.75984,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
12,1707.56,1.67755,2.03725,1.76592,0.72346,0.63555,0.71464,0.34317,1.6707,1.2904,1.7465,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
13,1840.16,1.66729,2.02992,1.75226,0.73479,0.66016,0.71328,0.35196,1.64579,1.26591,1.71705,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
14,1969.83,1.65944,2.00662,1.74554,0.71554,0.67641,0.7217,0.35852,1.6087,1.23512,1.68873,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
15,2098.32,1.65582,1.98551,1.73987,0.75649,0.6383,0.73243,0.37353,1.6011,1.22066,1.67651,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
16,2226.17,1.65188,1.97646,1.73153,0.77079,0.66694,0.73734,0.38428,1.61327,1.21055,1.68683,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
17,2355.4,1.64664,1.96673,1.72269,0.76166,0.67295,0.74416,0.39147,1.62283,1.1861,1.68584,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
18,2488.26,1.63413,1.96076,1.71363,0.76285,0.6701,0.73924,0.38628,1.59961,1.19434,1.66525,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
19,2615.33,1.63301,1.94209,1.7173,0.78887,0.67123,0.74863,0.38517,1.58797,1.18238,1.66777,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
20,2743.41,1.62652,1.94427,1.70926,0.75614,0.7004,0.74821,0.39663,1.57215,1.15213,1.63919,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
21,2873.7,1.62195,1.91262,1.69782,0.76635,0.70687,0.75576,0.40126,1.56659,1.1504,1.63776,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
22,3001.25,1.61607,1.91816,1.69824,0.77957,0.70633,0.77115,0.41363,1.56744,1.11896,1.63131,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
23,3135.23,1.60614,1.89944,1.68733,0.78406,0.71159,0.77442,0.42272,1.54242,1.12045,1.61329,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
24,3266.22,1.60926,1.89502,1.6837,0.81519,0.70159,0.78748,0.42375,1.56477,1.105,1.62527,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
25,3395.35,1.61078,1.89037,1.68635,0.79566,0.6994,0.78328,0.42515,1.54617,1.09199,1.61552,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839,0.0259752,0.00865839
26,3523.13,1.59296,1.88835,1.67226,0.79525,0.71921,0.79197,0.42446,1.53186,1.0868,1.59481,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
27,3652.05,1.59531,1.86181,1.67246,0.79035,0.72045,0.78068,0.43013,1.53308,1.07264,1.59536,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851,0.0253155,0.00843851
28,3781.47,1.58537,1.8576,1.6646,0.78187,0.72066,0.78456,0.4295,1.5384,1.0727,1.596,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349,0.0249705,0.00832349
29,3911.49,1.59627,1.86311,1.66274,0.78125,0.72798,0.78965,0.4318,1.52953,1.07272,1.58994,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525,0.0246157,0.00820525
30,4042.63,1.58006,1.83001,1.65324,0.80557,0.70728,0.77875,0.42922,1.52591,1.06584,1.59004,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389,0.0242517,0.00808389
31,4172.75,1.57963,1.83872,1.65106,0.79481,0.72137,0.78968,0.43393,1.5273,1.05962,1.59014,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
32,4304.36,1.58317,1.84202,1.64929,0.80414,0.71459,0.79118,0.43688,1.51939,1.05413,1.58041,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231,0.0234969,0.00783231
33,4438.11,1.57841,1.83436,1.64613,0.8107,0.71421,0.79579,0.44351,1.51063,1.04133,1.5724,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234,0.023107,0.00770234
34,4570.45,1.5726,1.82228,1.64318,0.81836,0.71591,0.79741,0.45045,1.50387,1.03586,1.56636,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976,0.0227093,0.00756976
35,4698.83,1.56633,1.81731,1.63668,0.80417,0.72903,0.79764,0.45129,1.49783,1.0291,1.55995,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468,0.022304,0.00743468
36,4827.57,1.56937,1.80663,1.64021,0.80606,0.71541,0.79864,0.45408,1.49796,1.02639,1.55938,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
37,4967.53,1.56141,1.79246,1.62819,0.78984,0.74732,0.79969,0.45899,1.49873,1.01708,1.55381,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761,0.0214728,0.00715761
38,5095.67,1.56098,1.80267,1.62861,0.78805,0.74811,0.80407,0.45898,1.4974,1.01049,1.55085,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588,0.0210476,0.00701588
39,5223.83,1.55297,1.79359,1.62851,0.78332,0.7642,0.80538,0.45915,1.48958,1.00437,1.54638,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222,0.0206166,0.00687222
40,5352.11,1.55062,1.77752,1.61526,0.79536,0.77027,0.80881,0.46047,1.4861,0.99943,1.54133,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675,0.0201803,0.00672675
41,5485,1.55577,1.78359,1.61832,0.80223,0.76175,0.8052,0.45941,1.48453,0.99748,1.53939,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963,0.0197389,0.00657963
42,5613.23,1.5512,1.76873,1.61673,0.81688,0.75669,0.80565,0.46051,1.48449,0.99337,1.53781,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101,0.019293,0.00643101
43,5742.47,1.55011,1.76131,1.61064,0.81662,0.75071,0.80663,0.45972,1.48451,0.98988,1.53676,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101,0.018843,0.00628101
44,5873.76,1.54126,1.74291,1.60211,0.81435,0.75887,0.80706,0.45913,1.4859,0.98522,1.53654,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981,0.0183894,0.00612981
45,6000.3,1.54062,1.75982,1.61181,0.80986,0.75882,0.80833,0.46156,1.48451,0.98235,1.53543,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754,0.0179326,0.00597754
46,6127.02,1.54096,1.75275,1.60796,0.79498,0.76375,0.80885,0.4605,1.48421,0.979,1.5349,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435,0.0174731,0.00582435
47,6253.46,1.53121,1.74275,1.59686,0.7965,0.76243,0.8103,0.46291,1.48552,0.97535,1.53486,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704,0.0170112,0.0056704
48,6379.21,1.52129,1.72373,1.59022,0.78741,0.76855,0.80924,0.46392,1.48386,0.97287,1.53416,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584,0.0165475,0.00551584
49,6505.11,1.53305,1.7401,1.59535,0.79205,0.7653,0.80992,0.46406,1.48357,0.9705,1.5336,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081,0.0160824,0.00536081
50,6631.69,1.52217,1.72911,1.58636,0.7924,0.76664,0.81069,0.46191,1.4824,0.96895,1.53249,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548,0.0156164,0.00520548
51,6757.95,1.51511,1.72599,1.58649,0.79274,0.77247,0.8138,0.46518,1.48181,0.9668,1.53178,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6884.16,1.51599,1.71194,1.58013,0.79884,0.77121,0.81323,0.46375,1.48203,0.9648,1.53199,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
53,7009.6,1.51158,1.70246,1.57627,0.80247,0.76747,0.81365,0.46361,1.48196,0.96383,1.53186,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,7136.21,1.51465,1.71532,1.57901,0.79774,0.76915,0.81403,0.46444,1.48105,0.96287,1.53069,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,7262.17,1.49813,1.69216,1.56362,0.7992,0.76898,0.81411,0.4645,1.47917,0.96166,1.5283,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,7388.5,1.497,1.70144,1.56528,0.7973,0.76943,0.81486,0.46563,1.47863,0.95959,1.52767,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,7514.21,1.49931,1.68813,1.56058,0.80344,0.76866,0.81504,0.46667,1.47892,0.95814,1.52776,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,7640.67,1.49029,1.66835,1.55667,0.79927,0.76971,0.81504,0.46766,1.47736,0.95678,1.52545,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,7766.53,1.49004,1.67223,1.55636,0.80387,0.77014,0.81488,0.46803,1.47641,0.955,1.52419,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,7891.98,1.48966,1.68343,1.55466,0.80711,0.76964,0.81581,0.46893,1.47576,0.95266,1.5229,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,8018.59,1.4781,1.66303,1.54946,0.80713,0.76909,0.81617,0.46988,1.47485,0.95133,1.52193,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,8147.24,1.47956,1.67249,1.54673,0.80647,0.77024,0.8169,0.47036,1.47348,0.94998,1.52051,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,8273.49,1.48094,1.66039,1.54587,0.80179,0.77337,0.81435,0.46837,1.47255,0.94889,1.51961,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,8399.5,1.47201,1.63634,1.53933,0.80512,0.7739,0.81593,0.46999,1.47162,0.94745,1.51854,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,8526.26,1.47082,1.65044,1.53971,0.80425,0.77433,0.81649,0.47062,1.47086,0.94583,1.51779,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,8653.62,1.47431,1.65434,1.53969,0.80272,0.77843,0.82073,0.47245,1.47034,0.94434,1.51714,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,8781.38,1.46284,1.64674,1.53254,0.80361,0.77895,0.82192,0.4734,1.46914,0.94297,1.51597,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,8907.61,1.46405,1.64581,1.53019,0.80321,0.77727,0.8189,0.47256,1.46883,0.94149,1.51517,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,9033.67,1.45759,1.6236,1.52261,0.8029,0.77831,0.81922,0.47151,1.4682,0.94012,1.51423,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,9161.03,1.45425,1.62495,1.52519,0.80138,0.77899,0.82021,0.47177,1.46811,0.93869,1.51369,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,9287.13,1.45096,1.61665,1.51962,0.80752,0.77821,0.82015,0.47236,1.46776,0.93756,1.51295,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,9412.03,1.44793,1.61124,1.51658,0.80742,0.77794,0.82031,0.47206,1.46714,0.93606,1.51209,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,9537.9,1.44412,1.60279,1.51456,0.81034,0.7786,0.82179,0.47295,1.46661,0.93474,1.51109,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,9663.29,1.44691,1.60181,1.51428,0.80715,0.78583,0.82215,0.47249,1.4663,0.9328,1.51063,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,9789.73,1.44628,1.6027,1.51623,0.80931,0.78465,0.82219,0.47176,1.46572,0.93139,1.5097,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,9915.56,1.44234,1.58711,1.5106,0.80962,0.7845,0.82306,0.47199,1.46575,0.92911,1.5094,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
