epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,292.455,1.87519,2.65842,1.88784,0.58633,0.50511,0.51946,0.23703,1.7801,1.59478,1.77114,0.00999408,0.00333136,0.00999408,0.00333136,0.00999408,0.00333136,0.00999408,0.00333136
2,547.763,1.79519,2.1937,1.84657,0.55235,0.4865,0.52664,0.23731,1.77249,1.50063,1.83786,0.0199916,0.00666386,0.0199916,0.00666386,0.0199916,0.00666386,0.0199916,0.00666386
3,792.755,1.82988,2.20149,1.89876,0.57276,0.53567,0.54475,0.25077,1.79399,1.60943,1.86872,0.0299791,0.00999304,0.0299791,0.00999304,0.0299791,0.00999304,0.0299791,0.00999304
4,1040.25,1.81553,2.14331,1.92127,0.58,0.54018,0.57846,0.26925,1.69977,1.45378,1.81307,0.0299664,0.00998879,0.0299664,0.00998879,0.0299664,0.00998879,0.0299664,0.00998879
5,1290.1,1.74939,2.04135,1.86395,0.62155,0.628,0.65114,0.32051,1.68511,1.35338,1.79198,0.0299402,0.00998007,0.0299402,0.00998007,0.0299402,0.00998007,0.0299402,0.00998007
6,1538.23,1.70868,1.96285,1.83631,0.73229,0.66233,0.71747,0.35276,1.69602,1.24932,1.7874,0.0299066,0.00996888,0.0299066,0.00996888,0.0299066,0.00996888,0.0299066,0.00996888
7,1784.87,1.67061,1.88246,1.80048,0.73062,0.65208,0.71554,0.36098,1.6375,1.26735,1.74665,0.0298656,0.0099552,0.0298656,0.0099552,0.0298656,0.0099552,0.0298656,0.0099552
8,2026.94,1.6516,1.83143,1.77537,0.60459,0.7092,0.69254,0.3529,1.59759,1.23457,1.69996,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
9,2269.46,1.62139,1.80071,1.75237,0.76374,0.69477,0.75447,0.40459,1.5477,1.14131,1.65284,0.0297614,0.00992045,0.0297614,0.00992045,0.0297614,0.00992045,0.0297614,0.00992045
10,2514.23,1.60449,1.7606,1.72863,0.77228,0.71578,0.76931,0.41261,1.57529,1.0878,1.66084,0.0296982,0.00989939,0.0296982,0.00989939,0.0296982,0.00989939,0.0296982,0.00989939
11,2765,1.60305,1.73843,1.72169,0.63633,0.73008,0.73531,0.39031,1.53031,1.08358,1.62783,0.0296277,0.00987589,0.0296277,0.00987589,0.0296277,0.00987589,0.0296277,0.00987589
12,3014.19,1.58164,1.71769,1.70523,0.76543,0.71604,0.77882,0.41587,1.53152,1.07235,1.61329,0.0295499,0.00984996,0.0295499,0.00984996,0.0295499,0.00984996,0.0295499,0.00984996
13,3262.63,1.56559,1.68961,1.68611,0.71628,0.76998,0.77365,0.39936,1.52362,1.01663,1.63428,0.0294648,0.00982162,0.0294648,0.00982162,0.0294648,0.00982162,0.0294648,0.00982162
14,3510.86,1.55854,1.66297,1.67342,0.77606,0.74529,0.80231,0.4235,1.50166,1.023,1.59372,0.0293726,0.00979087,0.0293726,0.00979087,0.0293726,0.00979087,0.0293726,0.00979087
15,3758.95,1.53973,1.66139,1.66907,0.77427,0.74222,0.78426,0.42896,1.51736,1.02871,1.60502,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
16,4002.66,1.53734,1.63613,1.65539,0.79691,0.75717,0.80586,0.44762,1.49253,0.99314,1.58397,0.0291667,0.00972222,0.0291667,0.00972222,0.0291667,0.00972222,0.0291667,0.00972222
17,4247.73,1.52256,1.62145,1.64562,0.79415,0.75464,0.80449,0.45473,1.4722,0.98713,1.57697,0.0290531,0.00968436,0.0290531,0.00968436,0.0290531,0.00968436,0.0290531,0.00968436
18,4490.5,1.51153,1.59267,1.63709,0.82475,0.75025,0.82651,0.46052,1.48184,0.94938,1.5849,0.0289325,0.00964417,0.0289325,0.00964417,0.0289325,0.00964417,0.0289325,0.00964417
19,4735.29,1.50885,1.59108,1.62969,0.82443,0.75348,0.81709,0.46057,1.48207,0.94022,1.57702,0.028805,0.00960166,0.028805,0.00960166,0.028805,0.00960166,0.028805,0.00960166
20,4985.81,1.49532,1.57477,1.62292,0.79512,0.77621,0.82265,0.47176,1.45694,0.92506,1.54529,0.0286706,0.00955686,0.0286706,0.00955686,0.0286706,0.00955686,0.0286706,0.00955686
21,5226.56,1.4967,1.58143,1.61666,0.80682,0.77717,0.82784,0.46792,1.44811,0.9254,1.54126,0.0285294,0.0095098,0.0285294,0.0095098,0.0285294,0.0095098,0.0285294,0.0095098
22,5467.8,1.48473,1.56993,1.60806,0.816,0.77914,0.81714,0.45482,1.44323,0.91814,1.53599,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
23,5708.5,1.48368,1.55043,1.60221,0.80956,0.78874,0.82186,0.46095,1.44069,0.88945,1.53527,0.0282268,0.00940895,0.0282268,0.00940895,0.0282268,0.00940895,0.0282268,0.00940895
24,5949.56,1.46913,1.52361,1.58816,0.79973,0.80816,0.83035,0.47763,1.42675,0.87378,1.51854,0.0280657,0.00935522,0.0280657,0.00935522,0.0280657,0.00935522,0.0280657,0.00935522
25,6192.66,1.46118,1.53238,1.58487,0.81795,0.79448,0.83784,0.47424,1.43204,0.88283,1.52533,0.027898,0.00929932,0.027898,0.00929932,0.027898,0.00929932,0.027898,0.00929932
26,6434.63,1.46267,1.52223,1.58105,0.8186,0.79711,0.84195,0.48424,1.42646,0.87223,1.51964,0.0277239,0.00924128,0.0277239,0.00924128,0.0277239,0.00924128,0.0277239,0.00924128
27,6675.52,1.45546,1.52063,1.57845,0.82387,0.798,0.84174,0.48246,1.41601,0.86439,1.51283,0.0275434,0.00918114,0.0275434,0.00918114,0.0275434,0.00918114,0.0275434,0.00918114
28,6916.94,1.44761,1.50548,1.57206,0.83431,0.79238,0.83789,0.48288,1.42184,0.85323,1.51931,0.0273567,0.00911891,0.0273567,0.00911891,0.0273567,0.00911891,0.0273567,0.00911891
29,7157.39,1.4502,1.49437,1.56516,0.83618,0.81305,0.8465,0.48745,1.40883,0.84463,1.5017,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
30,7400.95,1.44301,1.49783,1.55806,0.83849,0.79332,0.84274,0.48472,1.40223,0.83973,1.49511,0.026965,0.00898834,0.026965,0.00898834,0.026965,0.00898834,0.026965,0.00898834
31,7642.89,1.43456,1.47253,1.555,0.8477,0.80822,0.84638,0.48704,1.40141,0.82977,1.49159,0.0267602,0.00892007,0.0267602,0.00892007,0.0267602,0.00892007,0.0267602,0.00892007
32,7883.35,1.43519,1.49207,1.55252,0.8204,0.80217,0.8413,0.48719,1.398,0.82457,1.49085,0.0265495,0.00884984,0.0265495,0.00884984,0.0265495,0.00884984,0.0265495,0.00884984
33,8123.45,1.4255,1.47772,1.54234,0.84366,0.79878,0.84292,0.48466,1.39157,0.81206,1.48204,0.0263331,0.0087777,0.0263331,0.0087777,0.0263331,0.0087777,0.0263331,0.0087777
34,8363.37,1.43328,1.4741,1.54208,0.82304,0.81629,0.8429,0.48703,1.3955,0.81049,1.48333,0.0261111,0.00870369,0.0261111,0.00870369,0.0261111,0.00870369,0.0261111,0.00870369
35,8606.73,1.42139,1.46433,1.53966,0.82295,0.8177,0.84276,0.49032,1.39362,0.81199,1.48534,0.0258835,0.00862783,0.0258835,0.00862783,0.0258835,0.00862783,0.0258835,0.00862783
36,8848.34,1.42034,1.45356,1.53557,0.82154,0.82593,0.84197,0.49347,1.38361,0.80093,1.48032,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018,0.0256505,0.00855018
37,9088.02,1.40667,1.44356,1.52523,0.83322,0.81265,0.84618,0.49419,1.37743,0.79877,1.47375,0.0254123,0.00847076,0.0254123,0.00847076,0.0254123,0.00847076,0.0254123,0.00847076
38,9328.34,1.40355,1.43445,1.52052,0.836,0.81933,0.84977,0.49429,1.37959,0.79257,1.47231,0.0251689,0.00838962,0.0251689,0.00838962,0.0251689,0.00838962,0.0251689,0.00838962
39,9568.79,1.4075,1.44108,1.52283,0.84461,0.81971,0.8548,0.4935,1.38106,0.78881,1.47252,0.0249204,0.0083068,0.0249204,0.0083068,0.0249204,0.0083068,0.0249204,0.0083068
40,9812.52,1.39591,1.42761,1.51266,0.84654,0.82391,0.85706,0.49667,1.37992,0.78667,1.46996,0.024667,0.00822233,0.024667,0.00822233,0.024667,0.00822233,0.024667,0.00822233
41,10053.6,1.40605,1.43665,1.51408,0.84332,0.8331,0.85911,0.49702,1.37704,0.78507,1.46535,0.0244088,0.00813627,0.0244088,0.00813627,0.0244088,0.00813627,0.0244088,0.00813627
42,10294.2,1.39314,1.42021,1.51475,0.84153,0.83074,0.86046,0.49717,1.37479,0.7819,1.46523,0.024146,0.00804866,0.024146,0.00804866,0.024146,0.00804866,0.024146,0.00804866
43,10534.6,1.38847,1.42034,1.51226,0.84649,0.82938,0.85944,0.50013,1.37131,0.7793,1.46243,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954,0.0238786,0.00795954
44,10774.4,1.39096,1.42061,1.50482,0.84995,0.82073,0.85701,0.49993,1.36837,0.7772,1.46038,0.0236068,0.00786895,0.0236068,0.00786895,0.0236068,0.00786895,0.0236068,0.00786895
45,11017.4,1.38116,1.41517,1.50242,0.83839,0.82526,0.8563,0.49934,1.36831,0.7752,1.4612,0.0233308,0.00777694,0.0233308,0.00777694,0.0233308,0.00777694,0.0233308,0.00777694
46,11258.4,1.38478,1.39407,1.49409,0.8349,0.82171,0.85496,0.50332,1.36801,0.77373,1.45985,0.0230507,0.00768356,0.0230507,0.00768356,0.0230507,0.00768356,0.0230507,0.00768356
47,11498.5,1.37371,1.40166,1.48729,0.83666,0.82586,0.85867,0.50333,1.36807,0.77185,1.4598,0.0227666,0.00758885,0.0227666,0.00758885,0.0227666,0.00758885,0.0227666,0.00758885
48,11739.7,1.3714,1.38342,1.4869,0.84174,0.82436,0.86046,0.50337,1.36765,0.77065,1.45959,0.0224786,0.00749287,0.0224786,0.00749287,0.0224786,0.00749287,0.0224786,0.00749287
49,11979.9,1.37888,1.39579,1.48563,0.84171,0.82551,0.86172,0.50302,1.3663,0.76895,1.45801,0.0221869,0.00739565,0.0221869,0.00739565,0.0221869,0.00739565,0.0221869,0.00739565
50,12221.7,1.36247,1.38426,1.48457,0.84135,0.82453,0.86182,0.50326,1.36531,0.76645,1.45707,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725,0.0218918,0.00729725
51,12463.7,1.36277,1.38363,1.48018,0.84252,0.82802,0.86221,0.50389,1.36472,0.76447,1.45592,0.0215932,0.00719772,0.0215932,0.00719772,0.0215932,0.00719772,0.0215932,0.00719772
52,12703.3,1.36462,1.37803,1.47919,0.84034,0.82923,0.86198,0.50384,1.36426,0.76333,1.45507,0.0212913,0.00709711,0.0212913,0.00709711,0.0212913,0.00709711,0.0212913,0.00709711
53,12943.1,1.34695,1.35811,1.46423,0.84195,0.82874,0.86262,0.50552,1.36428,0.7608,1.4555,0.0209864,0.00699547,0.0209864,0.00699547,0.0209864,0.00699547,0.0209864,0.00699547
54,13183.9,1.34824,1.36045,1.46386,0.84591,0.82718,0.86343,0.50651,1.36297,0.75857,1.4541,0.0206786,0.00689285,0.0206786,0.00689285,0.0206786,0.00689285,0.0206786,0.00689285
55,13425.7,1.34502,1.36093,1.46818,0.84625,0.82719,0.8631,0.50724,1.36278,0.75652,1.45438,0.0203679,0.00678931,0.0203679,0.00678931,0.0203679,0.00678931,0.0203679,0.00678931
