epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,216.164,1.04951,1.3462,1.36235,0.90652,0.86837,0.92719,0.65433,1.04501,0.63267,1.33452,0.00998986,0.00332995,0.00998986,0.00332995,0.00998986,0.00332995,0.00998986,0.00332995
2,407.436,1.0353,0.86876,1.35238,0.84969,0.83186,0.89668,0.60226,1.1313,0.70535,1.39279,0.0198909,0.0066303,0.0198909,0.0066303,0.0198909,0.0066303,0.0198909,0.0066303
3,593.476,1.10166,0.95141,1.39449,0.85046,0.7946,0.85933,0.53633,1.24059,0.76041,1.51731,0.029693,0.00989765,0.029693,0.00989765,0.029693,0.00989765,0.029693,0.00989765
4,781.255,1.20474,1.09832,1.47955,0.82642,0.73794,0.83837,0.50841,1.27966,0.84884,1.55053,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
5,977.637,1.21798,1.11118,1.49239,0.83735,0.77917,0.85801,0.51176,1.25943,0.82833,1.52157,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
6,1175.62,1.20049,1.08251,1.47488,0.84306,0.77518,0.86081,0.52768,1.27533,0.836,1.50123,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
7,1372.22,1.18666,1.0653,1.46096,0.80203,0.76708,0.83344,0.50954,1.26174,0.84028,1.52019,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
8,1568.2,1.17514,1.02876,1.45239,0.79609,0.8225,0.86716,0.52486,1.23721,0.78484,1.505,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
9,1764.4,1.15609,1.00896,1.43867,0.79087,0.82932,0.85654,0.51295,1.28181,0.81098,1.55306,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
10,1954.91,1.15582,0.99429,1.43349,0.88413,0.79964,0.88893,0.5552,1.19487,0.7004,1.43676,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
11,2143.63,1.13887,0.98138,1.41391,0.87916,0.84497,0.91039,0.57536,1.16994,0.7132,1.43699,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
12,2335.37,1.11157,0.95004,1.40709,0.88193,0.79962,0.89349,0.56415,1.17531,0.69741,1.43516,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
13,2524.52,1.11308,0.94255,1.39675,0.85537,0.8629,0.901,0.59246,1.15373,0.67472,1.39301,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
14,2712.07,1.1087,0.92935,1.39404,0.87124,0.83732,0.89884,0.59608,1.13557,0.67006,1.39367,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
15,2897.36,1.08183,0.9199,1.38098,0.8985,0.82788,0.91879,0.61171,1.13712,0.66436,1.39227,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
16,3081.62,1.08284,0.89731,1.37541,0.89282,0.86953,0.92056,0.58987,1.13336,0.65049,1.38862,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
17,3264.79,1.06917,0.88364,1.36781,0.88205,0.83457,0.91269,0.62173,1.10015,0.64395,1.36005,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
