epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6383,1.87809,2.58584,1.93818,0.70597,0.23168,0.29277,0.11561,2.05738,2.08102,2.24307,0.000476051,0.000476051,0.000476051
2,194.384,1.91679,2.39522,2.01471,0.64596,0.23395,0.30041,0.12689,1.98706,2.20785,2.17009,0.000940599,0.000940599,0.000940599
3,288.827,1.87146,2.33277,1.9926,0.68766,0.22112,0.28554,0.12436,1.89473,2.15073,2.175,0.00139336,0.00139336,0.00139336
4,382.629,1.84237,2.29077,1.96616,0.67181,0.26761,0.33279,0.15217,1.82282,1.83591,2.03889,0.00137595,0.00137595,0.00137595
5,474.841,1.78835,2.16805,1.92216,0.34371,0.40694,0.36811,0.16452,1.85144,1.7885,2.0673,0.00135826,0.00135826,0.00135826
6,567.32,1.76367,2.06982,1.90143,0.43955,0.39835,0.3924,0.17747,1.76607,1.69559,1.96602,0.00134058,0.00134058,0.00134058
7,661.038,1.71951,2.00776,1.86932,0.52873,0.47006,0.50199,0.234,1.73613,1.58333,1.93814,0.0013229,0.0013229,0.0013229
8,753.562,1.6969,1.91592,1.83534,0.45199,0.50477,0.42006,0.19803,1.77321,1.65268,2.00246,0.00130521,0.00130521,0.00130521
9,846.609,1.66998,1.87951,1.83277,0.48463,0.48694,0.45332,0.21211,1.77477,1.66616,1.95381,0.00128753,0.00128753,0.00128753
10,940.949,1.66055,1.83724,1.82544,0.52587,0.4886,0.49759,0.23901,1.68707,1.47534,1.89468,0.00126985,0.00126985,0.00126985
11,1034.96,1.64684,1.79898,1.79523,0.5524,0.53125,0.53698,0.25445,1.68613,1.50869,1.8772,0.00125216,0.00125216,0.00125216
12,1128.27,1.62896,1.77346,1.78927,0.58746,0.504,0.54437,0.25902,1.66545,1.51007,1.87311,0.00123448,0.00123448,0.00123448
13,1221.42,1.61044,1.75404,1.76827,0.54374,0.52217,0.51978,0.24438,1.65859,1.38868,1.84346,0.00121679,0.00121679,0.00121679
14,1314.67,1.59971,1.69712,1.77596,0.55823,0.54438,0.5525,0.26985,1.65618,1.36488,1.83167,0.00119911,0.00119911,0.00119911
15,1409.27,1.59216,1.67467,1.75385,0.58002,0.58251,0.58169,0.28298,1.61705,1.37582,1.80648,0.00118143,0.00118143,0.00118143
16,1503.44,1.57804,1.64315,1.75065,0.53575,0.58641,0.55317,0.26636,1.62876,1.32844,1.82538,0.00116374,0.00116374,0.00116374
17,1597.27,1.57586,1.61911,1.7496,0.62061,0.59406,0.59792,0.30672,1.60669,1.2611,1.80924,0.00114606,0.00114606,0.00114606
18,1691.02,1.55346,1.56358,1.72573,0.6329,0.64207,0.63371,0.31439,1.59544,1.28101,1.79799,0.00112837,0.00112837,0.00112837
19,1784.35,1.5487,1.54474,1.72341,0.62993,0.60796,0.60834,0.318,1.56323,1.26258,1.7652,0.00111069,0.00111069,0.00111069
20,1878.62,1.53956,1.55175,1.71051,0.68703,0.56356,0.63849,0.34211,1.57495,1.20492,1.77349,0.00109301,0.00109301,0.00109301
21,1973.58,1.53031,1.49825,1.70183,0.60507,0.63416,0.6267,0.3301,1.55519,1.17837,1.76668,0.00107532,0.00107532,0.00107532
22,2067.69,1.51378,1.49211,1.6854,0.69565,0.6225,0.68161,0.36422,1.56173,1.17973,1.73622,0.00105764,0.00105764,0.00105764
23,2161.47,1.51546,1.47946,1.69393,0.66952,0.63455,0.69277,0.36773,1.53395,1.16348,1.7491,0.00103995,0.00103995,0.00103995
24,2255.2,1.48149,1.442,1.66935,0.6884,0.6466,0.69061,0.37717,1.54415,1.12935,1.76656,0.00102227,0.00102227,0.00102227
25,2349.22,1.49234,1.4405,1.67115,0.65537,0.66828,0.68533,0.36351,1.52093,1.12604,1.72948,0.00100459,0.00100459,0.00100459
26,2444.14,1.46982,1.39826,1.64028,0.69472,0.64327,0.70991,0.37859,1.52127,1.10238,1.70725,0.000986903,0.000986903,0.000986903
27,2537.73,1.4766,1.40357,1.65933,0.69451,0.67301,0.70981,0.39043,1.50965,1.08308,1.71234,0.000969219,0.000969219,0.000969219
28,2630.63,1.47215,1.38008,1.65648,0.69373,0.68958,0.71861,0.38714,1.49142,1.04729,1.69854,0.000951535,0.000951535,0.000951535
29,2724.9,1.45392,1.39725,1.64244,0.73697,0.65638,0.71198,0.38205,1.52429,1.07918,1.73078,0.000933851,0.000933851,0.000933851
30,2819.08,1.44341,1.34149,1.62937,0.69315,0.69202,0.72773,0.37954,1.47547,1.03737,1.66398,0.000916168,0.000916168,0.000916168
31,2913.48,1.43651,1.33065,1.62767,0.71878,0.70083,0.73134,0.39451,1.4978,1.0395,1.69058,0.000898484,0.000898484,0.000898484
32,3006.62,1.45102,1.33068,1.63434,0.76018,0.70652,0.75314,0.4069,1.50121,1.02401,1.69163,0.0008808,0.0008808,0.0008808
33,3100.64,1.41719,1.30246,1.60684,0.72662,0.70648,0.76701,0.42694,1.45735,1.00031,1.65634,0.000863116,0.000863116,0.000863116
34,3195.05,1.41359,1.26613,1.59667,0.76384,0.69292,0.75871,0.42054,1.48042,0.978,1.69516,0.000845432,0.000845432,0.000845432
35,3289.73,1.41516,1.27831,1.60767,0.72665,0.73184,0.77277,0.43496,1.47226,0.98556,1.67602,0.000827748,0.000827748,0.000827748
36,3383.61,1.39813,1.24641,1.58491,0.74472,0.74332,0.76755,0.43032,1.45704,0.94251,1.65593,0.000810064,0.000810064,0.000810064
37,3479.08,1.39108,1.21896,1.57956,0.77899,0.71534,0.76013,0.42938,1.44726,0.95539,1.64666,0.00079238,0.00079238,0.00079238
38,3573.89,1.39317,1.20534,1.57698,0.78644,0.72797,0.77619,0.43869,1.45739,0.92589,1.65044,0.000774697,0.000774697,0.000774697
39,3668.89,1.37694,1.19399,1.57472,0.80617,0.7153,0.77823,0.43993,1.45798,0.92682,1.65886,0.000757013,0.000757013,0.000757013
40,3762.72,1.3618,1.18155,1.56804,0.78391,0.72333,0.79657,0.46437,1.43141,0.9133,1.64594,0.000739329,0.000739329,0.000739329
41,3857.92,1.36456,1.16107,1.56024,0.78032,0.73906,0.78249,0.45168,1.44281,0.91357,1.63068,0.000721645,0.000721645,0.000721645
42,3951.81,1.34206,1.15101,1.5452,0.79078,0.73347,0.79945,0.4562,1.43612,0.89612,1.64576,0.000703961,0.000703961,0.000703961
43,4046.01,1.36121,1.13889,1.55394,0.82787,0.72201,0.80295,0.47061,1.42616,0.88766,1.63393,0.000686277,0.000686277,0.000686277
44,4139.62,1.35633,1.13663,1.54414,0.79976,0.74385,0.8088,0.46443,1.43686,0.88386,1.6279,0.000668593,0.000668593,0.000668593
45,4233.46,1.32821,1.11519,1.53043,0.77806,0.75727,0.79004,0.44857,1.4222,0.88088,1.61619,0.000650909,0.000650909,0.000650909
46,4327.56,1.33187,1.10543,1.52878,0.83232,0.72965,0.82066,0.47254,1.41561,0.87512,1.60353,0.000633226,0.000633226,0.000633226
47,4421.93,1.31236,1.09261,1.5234,0.83808,0.73672,0.81785,0.48735,1.41979,0.85175,1.61662,0.000615542,0.000615542,0.000615542
48,4515.15,1.30673,1.09438,1.51656,0.81662,0.74661,0.81658,0.47783,1.40737,0.85315,1.6048,0.000597858,0.000597858,0.000597858
49,4609.42,1.29375,1.04669,1.49858,0.83336,0.73545,0.81774,0.48341,1.39341,0.84517,1.59886,0.000580174,0.000580174,0.000580174
50,4703.99,1.29332,1.05487,1.50593,0.82109,0.75815,0.82275,0.4856,1.39026,0.83059,1.58509,0.00056249,0.00056249,0.00056249
51,4798.76,1.28601,1.03533,1.49686,0.83679,0.74253,0.82088,0.4943,1.38203,0.81281,1.57982,0.000544806,0.000544806,0.000544806
52,4893.28,1.27885,1.04451,1.4847,0.81285,0.75868,0.82214,0.48436,1.38663,0.81037,1.57466,0.000527122,0.000527122,0.000527122
53,4987.6,1.27649,1.03975,1.48242,0.83169,0.74368,0.82326,0.4943,1.38661,0.81596,1.58664,0.000509438,0.000509438,0.000509438
54,5082.25,1.26364,1.00566,1.47054,0.85326,0.76945,0.84437,0.50156,1.38335,0.78256,1.57166,0.000491755,0.000491755,0.000491755
55,5176.23,1.2691,1.00959,1.47393,0.84826,0.7698,0.84289,0.49649,1.38167,0.78978,1.57096,0.000474071,0.000474071,0.000474071
56,5270.37,1.24798,0.99347,1.4565,0.86302,0.75139,0.84381,0.50366,1.37353,0.79492,1.55844,0.000456387,0.000456387,0.000456387
57,5366.04,1.23574,0.97445,1.44733,0.83139,0.76995,0.84019,0.50322,1.37277,0.78502,1.56198,0.000438703,0.000438703,0.000438703
58,5461.29,1.25789,0.98477,1.46335,0.82551,0.78223,0.84104,0.50043,1.36274,0.78429,1.5498,0.000421019,0.000421019,0.000421019
59,5555.63,1.23117,0.97565,1.44088,0.83767,0.76446,0.84042,0.51044,1.35937,0.77841,1.54492,0.000403335,0.000403335,0.000403335
60,5651.51,1.22703,0.97176,1.43619,0.79899,0.78187,0.83788,0.50574,1.3539,0.76503,1.54529,0.000385651,0.000385651,0.000385651
61,5746.2,1.21979,0.96625,1.44274,0.82445,0.77194,0.84347,0.50254,1.36338,0.77956,1.55355,0.000367967,0.000367967,0.000367967
62,5839.97,1.21206,0.9444,1.42258,0.82587,0.78833,0.84945,0.51379,1.36212,0.77011,1.54836,0.000350284,0.000350284,0.000350284
63,5934.24,1.20546,0.93553,1.43329,0.79449,0.79745,0.84976,0.51588,1.35293,0.75268,1.54994,0.0003326,0.0003326,0.0003326
64,6029.04,1.19475,0.92619,1.41957,0.822,0.78367,0.84535,0.51293,1.33968,0.75587,1.52869,0.000314916,0.000314916,0.000314916
65,6123.81,1.18595,0.91717,1.41383,0.83734,0.79329,0.85126,0.5086,1.34492,0.75544,1.54146,0.000297232,0.000297232,0.000297232
66,6217.44,1.18584,0.90631,1.41039,0.84649,0.77765,0.8596,0.51867,1.34063,0.74273,1.52762,0.000279548,0.000279548,0.000279548
67,6311.37,1.18312,0.91949,1.40678,0.82477,0.78677,0.8519,0.5197,1.33187,0.74254,1.52878,0.000261864,0.000261864,0.000261864
68,6406.11,1.1652,0.8881,1.39772,0.86009,0.76482,0.84973,0.51786,1.33231,0.73731,1.53559,0.00024418,0.00024418,0.00024418
69,6500.41,1.16562,0.89174,1.39673,0.84465,0.77759,0.84638,0.51741,1.32223,0.73276,1.52394,0.000226497,0.000226497,0.000226497
70,6594.37,1.16151,0.89195,1.3953,0.83293,0.80672,0.84877,0.52014,1.32469,0.72555,1.52722,0.000208813,0.000208813,0.000208813
71,6706.01,1.16821,0.72215,1.41555,0.84752,0.78615,0.84959,0.52656,1.32416,0.72652,1.52922,0.000191129,0.000191129,0.000191129
72,6799.66,1.13977,0.70004,1.39113,0.84782,0.79097,0.85952,0.52923,1.31613,0.72843,1.52245,0.000173445,0.000173445,0.000173445
73,6892.29,1.12651,0.69044,1.37947,0.83529,0.79316,0.85405,0.52418,1.32055,0.72782,1.52757,0.000155761,0.000155761,0.000155761
74,6985.69,1.12558,0.67545,1.38178,0.82951,0.79672,0.85308,0.52617,1.31559,0.7247,1.52022,0.000138077,0.000138077,0.000138077
75,7080.91,1.11022,0.6745,1.36086,0.82794,0.7967,0.85175,0.52671,1.31402,0.7265,1.5166,0.000120393,0.000120393,0.000120393
76,7174.91,1.10322,0.67372,1.3592,0.86162,0.77741,0.85025,0.52713,1.31039,0.72546,1.5139,0.000102709,0.000102709,0.000102709
77,7268.1,1.08221,0.65636,1.34681,0.85951,0.78275,0.85427,0.52948,1.30901,0.7206,1.51819,8.50255e-05,8.50255e-05,8.50255e-05
78,7360.84,1.09091,0.65132,1.35052,0.86407,0.78358,0.85602,0.53114,1.30977,0.72157,1.51956,6.73416e-05,6.73416e-05,6.73416e-05
79,7454.23,1.07907,0.64407,1.34654,0.84252,0.78623,0.85489,0.53025,1.30542,0.72217,1.51037,4.96578e-05,4.96578e-05,4.96578e-05
80,7548.29,1.06919,0.63432,1.33978,0.86034,0.76226,0.85454,0.52958,1.30793,0.72073,1.51439,3.19739e-05,3.19739e-05,3.19739e-05
