epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.896,1.87219,2.70824,1.88617,0.50104,0.4172,0.43102,0.19298,1.80596,1.75779,1.8943,0.00333136,0.00333136,0.00333136
2,232.628,1.71835,2.06995,1.75743,0.58807,0.44704,0.49736,0.22519,1.82614,1.66468,1.93407,0.0066427,0.0066427,0.0066427
3,342.334,1.76285,2.0855,1.79978,0.4887,0.37859,0.39337,0.16772,1.86101,1.88987,2.02262,0.00993204,0.00993204,0.00993204
4,448.539,1.84979,2.18682,1.90444,0.45512,0.35487,0.388,0.1717,1.80956,1.78115,1.91142,0.009901,0.009901,0.009901
5,562.137,1.83396,2.13127,1.90373,0.73201,0.3148,0.39018,0.1721,1.82134,1.72064,1.98815,0.009868,0.009868,0.009868
6,665.914,1.79538,2.06015,1.87316,0.4184,0.42356,0.39965,0.18,1.80546,1.65845,1.99883,0.009835,0.009835,0.009835
7,769.86,1.75534,1.9527,1.85456,0.55301,0.42215,0.49318,0.22631,1.76048,1.57195,1.9009,0.009802,0.009802,0.009802
8,876.03,1.72347,1.87295,1.82467,0.45148,0.50557,0.4473,0.19695,1.75854,1.54111,1.92903,0.009769,0.009769,0.009769
9,980.435,1.70204,1.85379,1.81759,0.5006,0.47602,0.4666,0.21747,1.74821,1.48909,1.91116,0.009736,0.009736,0.009736
10,1086.52,1.67953,1.79404,1.80184,0.52872,0.52965,0.49788,0.22595,1.71818,1.41751,1.89669,0.009703,0.009703,0.009703
11,1194.57,1.669,1.76142,1.78499,0.61708,0.53485,0.5845,0.28905,1.68105,1.35015,1.86721,0.00967,0.00967,0.00967
12,1302.8,1.66027,1.71606,1.7779,0.55353,0.6028,0.55899,0.26173,1.71945,1.31788,1.85385,0.009637,0.009637,0.009637
13,1410.84,1.63415,1.68585,1.75366,0.56736,0.59832,0.55774,0.26296,1.66042,1.31193,1.81752,0.009604,0.009604,0.009604
14,1520.6,1.62663,1.65313,1.75066,0.52493,0.65859,0.53383,0.25414,1.65532,1.31301,1.84027,0.009571,0.009571,0.009571
15,1632.69,1.60723,1.60008,1.74026,0.56791,0.58915,0.54632,0.27405,1.63564,1.34397,1.8102,0.009538,0.009538,0.009538
16,1737.48,1.60658,1.61326,1.73527,0.6778,0.59618,0.65894,0.34262,1.62033,1.22752,1.78611,0.009505,0.009505,0.009505
17,1842.52,1.61117,1.59897,1.73578,0.63235,0.6247,0.65857,0.33872,1.62699,1.19799,1.79595,0.009472,0.009472,0.009472
18,1949.33,1.56939,1.55213,1.71927,0.61974,0.64268,0.64264,0.32517,1.61682,1.22049,1.80097,0.009439,0.009439,0.009439
19,2055.18,1.57183,1.51673,1.69748,0.60409,0.64722,0.61545,0.30193,1.6219,1.21436,1.78825,0.009406,0.009406,0.009406
20,2160.88,1.58054,1.52142,1.70646,0.66944,0.62925,0.69869,0.35888,1.59546,1.15464,1.76549,0.009373,0.009373,0.009373
21,2266.79,1.54721,1.47545,1.68788,0.69951,0.65226,0.69358,0.34362,1.58147,1.12276,1.74657,0.00934,0.00934,0.00934
22,2372.54,1.54579,1.46621,1.68823,0.67582,0.64025,0.70813,0.35279,1.6139,1.13098,1.74878,0.009307,0.009307,0.009307
23,2477.37,1.52738,1.43993,1.67233,0.70515,0.63715,0.70573,0.36675,1.5623,1.09679,1.73105,0.009274,0.009274,0.009274
24,2582.91,1.5283,1.43687,1.68088,0.74706,0.63469,0.71012,0.38852,1.53474,1.09583,1.71397,0.009241,0.009241,0.009241
25,2690.04,1.51373,1.40376,1.6553,0.67479,0.6591,0.67652,0.35468,1.54617,1.12099,1.7097,0.009208,0.009208,0.009208
26,2795.61,1.50953,1.38147,1.64744,0.60519,0.68902,0.6314,0.32268,1.56178,1.11084,1.73321,0.009175,0.009175,0.009175
